epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,279.284,0.62081,3.08565,1.19509,0.52159,0.15837,0.2824,0.22651,0.66726,3.55593,1.26252,0.00029694,0.00029694,0.00029694
2,553.144,0.65766,2.12473,1.18978,0.47328,0.6412,0.60637,0.44557,0.70113,2.95423,1.33023,0.000588061,0.000588061,0.000588061
3,825.299,0.65954,1.61494,1.18188,0.63469,0.80701,0.79487,0.65619,0.67619,2.04615,1.2619,0.000867184,0.000867184,0.000867184
4,1097.77,0.66168,1.42914,1.16242,0.6724,0.65092,0.72935,0.60772,0.67108,2.775,1.27454,0.000855005,0.000855005,0.000855005
5,1376.37,0.6324,1.28501,1.14449,0.77601,0.89895,0.92428,0.76549,0.69231,1.48577,1.26864,0.000837007,0.000837007,0.000837007
6,1652.92,0.64619,1.1733,1.16345,0.73913,0.76382,0.85726,0.69647,0.70644,1.58975,1.30661,0.000819009,0.000819009,0.000819009
7,1927.25,0.6219,1.05958,1.1493,0.7486,0.64661,0.80622,0.68975,0.5679,1.84925,1.12983,0.000801011,0.000801011,0.000801011
8,2201.61,0.59609,0.99715,1.12426,0.88078,0.95654,0.96635,0.8325,0.60358,1.08697,1.15378,0.000783013,0.000783013,0.000783013
9,2474.98,0.59884,0.92594,1.12337,0.57009,0.67777,0.67101,0.42804,1.24499,2.1908,2.1971,0.000765014,0.000765014,0.000765014
10,2747.37,0.60703,0.96698,1.12854,0.7531,0.79127,0.84711,0.74451,0.54581,1.2268,1.07742,0.000747016,0.000747016,0.000747016
11,3021.36,0.56627,0.90046,1.10604,0.90399,0.94678,0.96949,0.87477,0.51334,0.83922,1.04854,0.000729018,0.000729018,0.000729018
12,3294.96,0.56974,0.7926,1.10897,0.91993,0.971,0.96187,0.85244,0.53619,0.80234,1.06596,0.00071102,0.00071102,0.00071102
13,3569.25,0.55647,0.78293,1.09834,0.90239,0.9504,0.95341,0.85194,0.52927,0.84168,1.06525,0.000693022,0.000693022,0.000693022
14,3842.52,0.55779,0.7658,1.09581,0.93606,0.98436,0.97338,0.87332,0.51944,0.70109,1.05606,0.000675023,0.000675023,0.000675023
15,4116.53,0.5413,0.72974,1.08035,0.9142,0.96019,0.97142,0.86898,0.52212,0.71097,1.06139,0.000657025,0.000657025,0.000657025
16,4390.24,0.55384,0.72451,1.09169,0.8839,0.90494,0.96672,0.85643,0.51998,0.88028,1.04669,0.000639027,0.000639027,0.000639027
17,4664.43,0.53233,0.67985,1.07714,0.91861,0.9443,0.97156,0.86294,0.54424,0.69355,1.08961,0.000621029,0.000621029,0.000621029
18,4938.34,0.53748,0.66147,1.0804,0.90077,0.96055,0.9737,0.87739,0.5113,0.66542,1.02163,0.000603031,0.000603031,0.000603031
19,5213.51,0.52675,0.65435,1.07341,0.93717,0.97425,0.97579,0.88246,0.48416,0.60247,1.00741,0.000585032,0.000585032,0.000585032
20,5486.38,0.51474,0.63308,1.05746,0.94636,0.98943,0.97387,0.87932,0.52223,0.53884,1.06046,0.000567034,0.000567034,0.000567034
21,5759.7,0.50805,0.60761,1.06773,0.94487,0.92776,0.96032,0.87632,0.46979,0.62051,0.98763,0.000549036,0.000549036,0.000549036
22,6032.37,0.5194,0.58417,1.0672,0.95462,0.99515,0.97592,0.8884,0.48939,0.50733,1.02177,0.000531038,0.000531038,0.000531038
23,6305.71,0.50358,0.57736,1.06104,0.91956,0.98127,0.96874,0.88818,0.47611,0.52837,1.00229,0.00051304,0.00051304,0.00051304
24,6579.97,0.50749,0.5592,1.06156,0.93479,0.95888,0.97432,0.88466,0.47705,0.57644,1.0023,0.000495041,0.000495041,0.000495041
25,6853.59,0.49576,0.54715,1.05735,0.95438,0.99955,0.97294,0.8815,0.48401,0.48362,1.00376,0.000477043,0.000477043,0.000477043
26,7126.34,0.50153,0.55769,1.05941,0.955,0.98727,0.97493,0.8974,0.47621,0.46677,0.99614,0.000459045,0.000459045,0.000459045
27,7398.86,0.47959,0.51741,1.04537,0.95411,0.99408,0.97628,0.90418,0.45042,0.44867,0.96416,0.000441047,0.000441047,0.000441047
